노원구,202109,3658,1636,백병원 사거리 농협은행 앞,37.65470123,127.0634003
강동구,202109,3644,1090,상일동역 2번출구 앞,37.5567894,127.1661453
구로구,202109,3644,1955,디지털입구 교차로,37.48288345,126.9010391
강서구,202109,3630,1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),37.55746078,126.8614578
종로구,202109,3623,458,광화문역 5번출구,37.56993866,126.9775391
영등포구,202109,3621,283,아크로타워 스퀘어(영등포시장),37.52251816,126.9072189
동대문구,202109,3620,668,서울축산농협(장안지점),37.56799698,127.068779
강서구,202109,3601,1191,마곡역 교차로(NH농협),37.5602417,126.8271637
강북구,202109,3597,1512,강북중학교 앞,37.64473724,127.0265656
송파구,202109,3579,1293,석촌호교차로 (스타벅스 앞),37.50656128,127.0965576
광진구,202109,3574,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068
송파구,202109,3569,1264,천호역 10번 출구 앞,37.53858185,127.1228027
마포구,202109,3565,154,마포구청역,37.56090927,126.9054947
송파구,202109,3530,2641,송파역 4번출구,37.50004959,127.1115112
구로구,202109,3521,1986,태평양물산빌딩,37.48485947,126.8951874
강서구,202109,3520,1184,마곡13단지,37.55644989,126.815979
송파구,202109,3516,1231,잠실역 6번출구,37.51408768,127.0990295
도봉구,202109,3509,1721,창동역 2번출구,37.65301514,127.0469971
은평구,202109,3503,914,새절역 2번출구,37.59079742,126.9136505
관악구,202109,3498,2176,보라매공원 보도육교,37.48899078,126.9163818
영등포구,202109,3491,263,근로자회관 사거리,37.51715088,126.8886261
강서구,202109,3491,1173,강서구청사거리(SH타워),37.55625916,126.8533173
마포구,202109,3489,3002,벽산상암스마트큐브 ,37.5650444,126.9036026
강서구,202109,3456,1167,마곡수명산파크3단지 교차로,37.55350876,126.8258667
성동구,202109,3448,3559,성동구민종합체육센터 앞,37.54590988,127.0446014
성동구,202109,3447,3600,사근빗물펌프장 건너편,37.56119156,127.0496826
송파구,202109,3418,2610,여흥레이크빌 앞 (석촌호수 까페거리),37.51045227,127.1064072
마포구,202109,3415,114,홍대입구역 8번출구 앞,37.55706024,126.9244232
강북구,202109,3412,1569,수유역2번출구,37.62673187,127.0387726
양천구,202109,3405,704,남부법원검찰청 교차로,37.52325439,126.8649063
양천구,202109,3399,4515,동문굿모닝탑,37.51481247,126.8611755
강동구,202109,3395,1019,다성이즈빌아파트(호원대 대각선 맞은편),37.52679443,127.1300583
종로구,202109,3386,302,경복궁역 4번출구 뒤,37.57594681,126.9740601
종로구,202109,3386,342,대학로 마로니에공원,37.57978439,127.002533
구로구,202109,3386,1946,구로역 광장,37.50311661,126.8803864
광진구,202109,3386,3579,광진 캠퍼스시티,37.54788971,127.0674515
마포구,202109,3382,415,DMC역 9번출구 앞,37.57746887,126.8973618
용산구,202109,3382,829,베르가모앞,37.52293015,126.9616928
강남구,202109,3380,3627,압구정나들목,37.53075027,127.0416031
은평구,202109,3372,913,이마트 은평점,37.60070038,126.9201279
서대문구,202109,3367,131,증산2교,37.5841713,126.9111023
강동구,202109,3357,1024,강동구청 앞,37.52929688,127.1231537
금천구,202109,3357,1867,대륭포스트타워6차 앞,37.48088837,126.8838043
송파구,202109,3356,1209,잠실나루역 (2번 출구 쪽),37.52045059,127.1042023
마포구,202109,3353,184,SK망원동주유소 건너편,37.55894852,126.907753
광진구,202109,3345,3501,광진구청 앞,37.53950119,127.0830002
영등포구,202109,3343,276,SK 영등포주유소,37.51828384,126.9126358
서초구,202109,3337,2264,이수역 1번출구,37.48855591,126.9825745
광진구,202109,3329,3575,자양사거리 (LG 유플러스),37.53657532,127.0825806
마포구,202109,3322,183,하늘채코오롱아파트 건너편,37.56516647,126.9193955
강서구,202109,3317,1197,엠펠리체 호텔 건너편,37.5602417,126.8358078
중랑구,202109,3315,1451,중랑세무서,37.59275818,127.07267
동작구,202109,3312,2058,노량진동 맥도널드앞,37.5135231,126.9435272
양천구,202109,3306,735,영도초등학교,37.53637695,126.8715134
영등포구,202109,3303,240,문래역 4번출구 앞,37.51873779,126.8955765
노원구,202109,3295,2910,도깨비시장,37.6220932,127.0744247
송파구,202109,3292,4865,한성백제역 1번출구 뒤,37.51634216,127.115593
성동구,202109,3283,512,뚝섬역 1번 출구 옆,37.5485611,127.0450058
